centreID,roomID
C90794,H1-001
C90794,H1-002
C90794,H1-003
C90794,H1-004
C90794,H1-005
C90794,H1-006
C90794,H1-007
C90794,H1-008
C90794,H1-009
C90794,H1-010
C90794,H2-001
C90794,H2-002
C90794,H2-003
C90794,H2-004
C90794,H2-005
C90794,H2-006
C90794,H2-007
C90794,H2-008
C90794,H2-009
C90794,H2-010
C90794,H2-011
C90794,H2-012
C90794,H2-013
C90794,H2-014
C90794,H2-015
C90794,H2-016
C90794,H2-017
C90794,H2-018
C90794,H2-019
C90794,H2-020
C90794,H2-021
C90794,H2-022
C90794,H2-023
C90794,H4-001
C90794,H4-002
C90794,H4-003
C90794,H4-004
C90794,H4-005
C90794,H4-006
C90794,H4-007
C90794,H4-008
C90794,H4-009
C90794,H4-010
C90794,H4-011
C90794,H4-012
C90794,H4-013
C90794,H4-014
C90794,H4-015
C90794,H4-016
C90794,H4-017
C90794,H4-018
C90794,H4-019
C90794,H4-020
C90794,H4-021
C90794,H4-022
C90794,H4-023
C90794,H4-024
C90794,H4-025
C90794,H4-026
C90794,H4-027
C90794,H4-028
C90794,H4-029
C90794,H4-030
C90794,H4-031
C90794,H4-032
C90794,H4-033
C90794,H4-034
C90794,H4-035
C90794,H4-036
C90794,H4-037
C90794,H4-038
C90794,H4-039
C90794,H4-040
C90794,H4-041
C90794,H4-042
C90794,H4-043
C90794,H4-044
C90794,H4-045
C90794,H4-046
C90794,H4-047
C90794,H4-048
C90794,H4-049
C90794,H4-050
C90794,H4-051
C90794,H4-052
C90794,H4-053
C90794,H4-054
C90794,H4-055
C90794,H4-056
C90794,H4-057
C90794,H4-058
C90794,H4-059
C90794,H4-060
C90794,H4-061
C90794,H4-062
C90794,H4-063
C90794,H4-064
C90794,H4-065
C90794,H4-066
C90794,H4-067
C90794,H4-068
C90794,H4-069
C90794,H4-070
C90794,I1-001
C90794,I1-002
C90794,I1-003
C90794,I1-004
C90794,I1-005
C90794,I1-006
C90794,I1-007
C90794,I1-008
C90794,I1-009
C90794,I1-010
C90794,I1-011
C90794,I1-012
C90794,I1-013
C90794,I1-014
C90794,I1-015
C90794,I1-016
C90794,I1-017
C90794,I1-018
C90794,I1-019
C90794,I1-020
C90794,I1-021
C90794,I1-022
C90794,I1-023
C90794,I1-024
C90794,I1-025
C90794,I1-026
C90794,I1-027
C90794,I1-028
C90794,I1-029
C90794,I1-030
C90794,I1-031
C90794,I1-032
C90794,I1-033
C90794,I1-034
C90794,I1-035
C90794,I1-036
C90794,I1-037
C90794,I1-038
C90794,I1-039
C90794,I1-040
C90794,I1-041
C90794,I1-042
C90794,I1-043
C90794,I1-044
C90794,I1-045
C90794,I1-046
C90794,I1-047
C90794,I1-048
C90794,I1-049
C90794,I1-050
C90794,I1-051
C90794,I1-052
C90794,I1-053
C90794,I1-054
C90794,I1-055
C90794,I1-056
C90794,I1-057
C90794,I1-058
C90794,I1-059
C90794,I1-060
C90794,I1-061
C90794,I1-062
C90794,I1-063
C90794,I1-064
C90794,I1-065
C90794,I1-066
C90794,I1-067
C90794,I1-068
C90794,I1-069
C90794,I1-070
C90794,I1-071
C90794,I1-072
C90794,I1-073
C90794,I1-074
C90794,I1-075
C90794,I1-076
C90794,I1-077
C90794,I1-078
C90794,I1-079
C90794,I1-080
C90794,I1-081
C90794,I1-082
C90794,I1-083
C90794,I1-084
C90794,I1-085
C90794,I1-086
C90794,I1-087
C90794,I1-088
C90794,I1-089
C90794,I1-090
C90794,I1-091
C90794,I1-092
C90794,I1-093
C90794,I1-094
C90794,I1-095
C90794,I1-096
C90794,I1-097
C90794,I1-098
C90794,I1-099
C90794,I1-100
C90794,I1-101
C90794,I1-102
C90794,I1-103
C90794,I1-104
C90794,I1-105
C90794,I1-106
C90794,I1-107
C90794,I1-108
C90794,I1-109
C90794,I1-110
C90794,I1-111
C90794,I1-112
C90794,I1-113
C90794,I1-114
C90794,I1-115
C90794,I1-116
C90794,I1-117
C90794,I1-118
C90794,I1-119
C90794,I1-120
C90794,I1-121
C90794,I1-122
C90794,I1-123
C90794,I1-124
C90794,I1-125
C90794,I1-126
C90794,I1-127
C90794,I1-128
C90794,I1-129
C90794,I1-130
C90794,I1-131
C90794,I1-132
C90794,I1-133
C90794,I1-134
C90794,I1-135
C90794,I1-136
C90794,I1-137
C90794,I1-138
C90794,I1-139
C90794,I1-140
C90794,I1-141
C90794,I1-142
C90794,I1-143
C90794,I1-144
C90794,N2-001
C90794,N2-002
C90794,N2-003
C90794,N2-004
C90794,N2-005
C90794,N2-006
