name,address,tel
Menara Medical Clinic,"Lot LS 05, Level 1, Passenger Terminal, Building Penang Airport, 11900 Bayan Lepas, Pulau Pinang",04-6447101
"Dewan Seri Melati, Perlis","Jalan Bukit Keteri, 02400 Kangar, Perlis",04-9738911
Cendrawasih Hall Pendang District Council,"Pendang, 06700 Pendang, Kedah",04-7028444
"Dewan Bandaran Kampar, Majlis Daerah Kampar","Kampung Baharin Pinji, 31900 Kampar, Perak",05-4671020
APMM,"Unnamed Road, 16800 Pasir Puteh, Kelantan",09-7780048
Dewan Sivik Bukit Payong,"Kampung Wakaf Kedondong, 21400 Kuala Terengganu, Terengganu",09-6191033
SMK Karak Setia,"Jalan Pandan 2, 28600 Karak, Pahang",09-2311078
Dewan Dato' Bahaman Kuala Pilah,"Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan",06-4812075
Dewan Tun Ali,"75450 Bukit Katil, Malacca",06-2323434
Che Ann Khor,"Lot HS 2677, Pt 2446, Jalan Kota Impian 1, 83700 Yong Peng, Johor",07-4679800
Dewan Hakka Sandakan,"Jalan Tyng, 90000 Sandakan, Sabah",089-212884
Stadium Perpaduan,"Jln Stadium (Ring), Petra Jaya, 93050 Kuching, Sarawak",08-2442286
Space U8,"1-22-1, 1st floor Space u8 mall, no 6, Persiaran Pasak Bumi, 40150 Shah Alam, Selangor",03-50334818
Kuala Lumpur Convention Centre,"Jalan Pinang, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-23332888
