name,address,email,tel
Sunlife Medic Sdn Bhd,"8-1, Jalan Serkut, Taman Pertama, Cheras, Kuala Lumpur, Malaysia, Kuala Lumpur, Wilayah Persekutuan",sunlifemedic,03-9282591
IBS Medical Equipments,"Unit 05 - 06, Level 05, Tower A, Vertical Business Suite Avenue 3, Bangsar South No.8, Jalan Kerinchi 59200,Kuala Lumpur",ibsmedic,03-2242302
JY Industry,"No 22A, Jalan OS 1/2, Batu Caves, Selangor, Malaysia",JYIndustry,06-3365530
Biogenesis Enterprise,"P.O Box 2242, Keningau, Sabah, Malaysia",BiogenesisEnterprise,08-7339782
HNC Medical Supplies,"Lot 2087, Block, 10, Q3A, Bormill Commercial Centre, 93150 Kuching, Sarawak",HNCMedicalSupplies,082-550069
United Malaysian Medical Industries Sdn Bhd,"13-1, Jalan Ara SD 7/3, Bandar Sri Damansara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",UnitedMalaysianMedical Industries ,03-6277039
Winhill Medical Supply,"29-4-2, Diamond Square Commercial Centre, Jalan 3/50 Off Jalan Gombak, Wilayah Persekutuan, 53000 Kuala Lumpur, Malaysia",winhillmedical,03-4021763
Medical Equipment Supplier - EQUMED Sdn Bhd,"Ground Floor, A-41& A-43, Jln IM 7/1, Bandar Indera Mahkota, 25200 Kuantan, Pahang, Malaysia",EQUMED,01-4551849
Pinang Medical Supplies,"2nd Floor, 3-2-3, Lorong Delima 20, Taman Island Glades, 11700 Jelutong, Pulau Pinang, Malaysia",pinangmedical,04-6566220
Maycare Seremban - Malaysian Healthcare Sdn Bhd,"1435, Ground Floor, Pusat Perniagaan, Jalan Rasah, Bukit Rasah, 70300 Seremban, Negeri Sembilan, Malaysia",Maycare,06-7618890
Medi-Care Products Sdn Bhd,"Taman Ipoh Selatan, 30-A, Lorong Taman Ipoh 1, Ipoh Garden, 31400, Perak, Malaysia",medi-care,05-5457814
H2H Medicare,"3, Jalan Patani, George Town, 10150 George Town, Pulau Pinang, Malaysia",h2hmedicare,06-4321777
Parkcity Medical Supplies,"22-G, Block B, Vista Magna, Jalan prima, Metro Prima, Kepong, Kuala Lumpur, 52100, Kuala Lumpur, WP Kuala Lumpur, Malaysia, 52100 Kuala Lumpur, Malaysia",Parkcitu,03-9251319
Ritz Medical Supplies,"38, Jalan Harilela, Kawasan Industri Ringan Kinta Jaya, 31350 Ipoh, Perak, Malaysia",ritzmedical,03-5167110
Asian Integrated Medical Sdn. Bhd. (ielder.asia),"20, Lorong CP 6/50, Taman Cheras Perdana, 43200 Cheras, Selangor, Malaysia",ielder.asia,03-2288472
Ministry of Health Malaysia,"Kompleks E, Blok E1, E3, E6, E7 & E10, Pusat Pentadbiran Kerajaan Persekutuan, 62590, 62000 Putrajaya, Wilayah Persekutuan Putrajaya",kkm@moh.gov.my,03-88886187
