supplierID,companyName,address,phoneNumber,email
SP940,Sunlife Medic Sdn Bhd,"8-1, Jalan Serkut, Taman Pertama, Cheras, Kuala Lumpur, Malaysia, Kuala Lumpur, Wilayah Persekutuan",03-9282591,sunlifemedic@gmail.com
SP392,IBS Medical Equipments,"Unit 05 - 06, Level 05, Tower A, Vertical Business Suite Avenue 3, Bangsar South No.8, Jalan Kerinchi 59200,Kuala Lumpur",03-2242302,ibsmedic@gmail.com
SP801,JY Industry,"No 22A, Jalan OS 1/2, Batu Caves, Selangor, Malaysia",06-3365530,JYIndustry@gmail.com
SP197,Biogenesis Enterprise,"P.O Box 2242, Keningau, Sabah, Malaysia",08-7339782,BiogenesisEnterprise@gmail.com
SP194,HNC Medical Supplies,"Lot 2087, Block, 10, Q3A, Bormill Commercial Centre, 93150 Kuching, Sarawak",082-550069,HNCMedicalSupplies@gmail.com
SP641,United Malaysian Medical Industries Sdn Bhd,"13-1, Jalan Ara SD 7/3, Bandar Sri Damansara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",03-6277039,UnitedMalaysianMedical Industries @gmail.com
SP974,Winhill Medical Supply,"29-4-2, Diamond Square Commercial Centre, Jalan 3/50 Off Jalan Gombak, Wilayah Persekutuan, 53000 Kuala Lumpur, Malaysia",03-4021763,winhillmedical@gmail.com
SP525,Medical Equipment Supplier - EQUMED Sdn Bhd,"Ground Floor, A-41& A-43, Jln IM 7/1, Bandar Indera Mahkota, 25200 Kuantan, Pahang, Malaysia",01-4551849,EQUMED@gmail.com
SP490,Pinang Medical Supplies,"2nd Floor, 3-2-3, Lorong Delima 20, Taman Island Glades, 11700 Jelutong, Pulau Pinang, Malaysia",04-6566220,pinangmedical@gmail.com
SP699,Maycare Seremban - Malaysian Healthcare Sdn Bhd,"1435, Ground Floor, Pusat Perniagaan, Jalan Rasah, Bukit Rasah, 70300 Seremban, Negeri Sembilan, Malaysia",06-7618890,Maycare@gmail.com
SP407,Medi-Care Products Sdn Bhd,"Taman Ipoh Selatan, 30-A, Lorong Taman Ipoh 1, Ipoh Garden, 31400, Perak, Malaysia",05-5457814,medi-care@gmail.com
SP412,H2H Medicare,"3, Jalan Patani, George Town, 10150 George Town, Pulau Pinang, Malaysia",06-4321777,h2hmedicare@gmail.com
SP956,Parkcity Medical Supplies,"22-G, Block B, Vista Magna, Jalan prima, Metro Prima, Kepong, Kuala Lumpur, 52100, Kuala Lumpur, WP Kuala Lumpur, Malaysia, 52100 Kuala Lumpur, Malaysia",03-9251319,Parkcitu@gmail.com
SP958,Ritz Medical Supplies,"38, Jalan Harilela, Kawasan Industri Ringan Kinta Jaya, 31350 Ipoh, Perak, Malaysia",03-5167110,ritzmedical@gmail.com
SP092,Asian Integrated Medical Sdn. Bhd. (ielder.asia),"20, Lorong CP 6/50, Taman Cheras Perdana, 43200 Cheras, Selangor, Malaysia",03-2288472,ielder.asia@gmail.com
SP107,Ministry of Health Malaysia,"Kompleks E, Blok E1, E3, E6, E7 & E10, Pusat Pentadbiran Kerajaan Persekutuan, 62590, 62000 Putrajaya, Wilayah Persekutuan Putrajaya",03-88886187,kkm@moh.gov.my@gmail.com
