centreID,staffID,assignmentDate,workingHour,dutyRole
C19149,D88728,05/07/2019,morning shift(0500-1300),coordinator
C34341,N28695,27/12/2019,night shift(2100-0500),vaccinator
C38573,N59764,07/05/2021,afternoon shift(1300-2100),tester
C21883,D58967,22/11/2020,afternoon shift(1300-2100),condition monitoring
C80674,N00028,29/07/2019,night shift(2100-0500),vaccinator
C73062,N91749,20/06/2018,morning shift(0500-1300),care taker
C38789,N92479,26/09/2018,night shift(2100-0500),examiner
C34151,N20342,08/04/2021,morning shift(0500-1300),tester
C89400,N19496,11/12/2018,afternoon shift(1300-2100),examiner
C97873,N93223,14/02/2019,afternoon shift(1300-2100),examiner
C55995,N93674,28/09/2019,night shift(2100-0500),tester
C16057,N64096,28/12/2020,morning shift(0500-1300),tester
C30323,D80609,05/02/2020,morning shift(0500-1300),coordinator
C90794,N22609,15/05/2019,afternoon shift(1300-2100),vaccinator
C33463,N35245,22/07/2018,night shift(2100-0500),examiner
C00960,D67381,13/12/2019,afternoon shift(1300-2100),coordinator
C65811,N77706,05/08/2018,night shift(2100-0500),vaccinator
C96657,N80365,08/02/2021,afternoon shift(1300-2100),tester
C57533,N82105,03/03/2019,afternoon shift(1300-2100),tester
C73148,N53662,09/07/2020,morning shift(0500-1300),examiner
C77741,N80280,04/06/2020,afternoon shift(1300-2100),care taker
C63521,D76578,14/02/2020,night shift(2100-0500),coordinator
C75072,N25536,25/03/2021,night shift(2100-0500),tester
C44256,N83367,23/07/2020,night shift(2100-0500),examiner
C28348,N20032,07/02/2019,morning shift(0500-1300),care taker
C94724,D51155,06/10/2019,morning shift(0500-1300),coordinator
C94075,N23224,07/04/2021,afternoon shift(1300-2100),examiner
C95781,D29729,28/10/2020,night shift(2100-0500),condition monitoring
C08426,N12315,17/06/2019,afternoon shift(1300-2100),care taker
C62299,D03650,21/01/2021,night shift(2100-0500),coordinator
C34648,N03482,27/06/2021,afternoon shift(1300-2100),care taker
C32447,N49545,08/09/2018,night shift(2100-0500),vaccinator
C43228,N46088,01/05/2020,night shift(2100-0500),examiner
C80123,D59753,10/07/2021,morning shift(0500-1300),condition monitoring
C27022,D94450,02/03/2019,afternoon shift(1300-2100),condition monitoring
C17418,N91071,02/12/2019,night shift(2100-0500),vaccinator
C37581,N73953,12/12/2018,afternoon shift(1300-2100),tester
C33733,D83744,24/01/2019,night shift(2100-0500),condition monitoring
C09157,N12415,28/07/2021,night shift(2100-0500),tester
C07739,N33642,20/05/2020,afternoon shift(1300-2100),examiner
C19149,D45293,21/08/2019,night shift(2100-0500),coordinator
C34341,N41547,22/04/2020,afternoon shift(1300-2100),vaccinator
C38573,N03255,22/02/2020,morning shift(0500-1300),tester
C21883,N26067,31/03/2019,night shift(2100-0500),vaccinator
C80674,D61559,11/12/2018,night shift(2100-0500),coordinator
C73062,N20618,07/07/2020,night shift(2100-0500),vaccinator
C38789,N23549,07/06/2021,afternoon shift(1300-2100),vaccinator
C34151,D74348,04/06/2020,morning shift(0500-1300),coordinator
C89400,D49279,05/06/2019,night shift(2100-0500),condition monitoring
C97873,N31308,28/02/2019,morning shift(0500-1300),care taker
C55995,N68687,17/02/2021,afternoon shift(1300-2100),examiner
C16057,D88259,06/03/2021,morning shift(0500-1300),condition monitoring
C30323,D99352,08/07/2019,night shift(2100-0500),condition monitoring
C90794,N30390,27/02/2020,afternoon shift(1300-2100),examiner
C33463,N39450,10/02/2020,night shift(2100-0500),vaccinator
C00960,N13284,08/08/2018,night shift(2100-0500),tester
C65811,N94583,20/05/2021,morning shift(0500-1300),care taker
C96657,N60726,13/08/2019,afternoon shift(1300-2100),vaccinator
C57533,N46876,20/03/2020,morning shift(0500-1300),vaccinator
C73148,D35799,24/03/2020,afternoon shift(1300-2100),condition monitoring
C77741,N74538,10/07/2020,night shift(2100-0500),examiner
C63521,N06006,21/02/2019,morning shift(0500-1300),vaccinator
C75072,D89478,29/04/2021,night shift(2100-0500),coordinator
C44256,N64572,27/07/2018,afternoon shift(1300-2100),vaccinator
C28348,D67236,16/10/2018,morning shift(0500-1300),coordinator
C94724,N18174,19/12/2020,night shift(2100-0500),examiner
C94075,D80444,29/12/2020,afternoon shift(1300-2100),coordinator
C95781,D92933,13/06/2021,night shift(2100-0500),condition monitoring
C08426,D46759,13/12/2018,afternoon shift(1300-2100),coordinator
C62299,N69135,05/11/2019,afternoon shift(1300-2100),tester
C34648,N94352,06/10/2020,morning shift(0500-1300),examiner
C32447,N79051,12/05/2020,afternoon shift(1300-2100),vaccinator
C43228,N87310,23/01/2021,afternoon shift(1300-2100),vaccinator
C80123,N13080,30/12/2020,morning shift(0500-1300),examiner
C27022,D09204,15/04/2020,night shift(2100-0500),coordinator
C17418,D12300,11/06/2020,afternoon shift(1300-2100),condition monitoring
C37581,D13651,29/01/2019,night shift(2100-0500),coordinator
C33733,D05668,02/01/2020,morning shift(0500-1300),coordinator
C09157,N43181,24/07/2021,night shift(2100-0500),examiner
C07739,N82415,22/06/2019,night shift(2100-0500),vaccinator
C19149,D47627,12/03/2019,night shift(2100-0500),condition monitoring
C34341,N91883,15/03/2019,night shift(2100-0500),examiner
C38573,N16780,04/10/2019,night shift(2100-0500),vaccinator
C21883,N32344,14/10/2019,night shift(2100-0500),tester
C80674,N31620,08/05/2019,morning shift(0500-1300),tester
C73062,N22916,01/03/2021,night shift(2100-0500),examiner
C38789,N55713,28/08/2018,night shift(2100-0500),care taker
C34151,D05387,01/08/2019,afternoon shift(1300-2100),coordinator
C89400,N54568,02/08/2019,night shift(2100-0500),examiner
C97873,N77732,03/02/2020,afternoon shift(1300-2100),tester
C55995,D13020,11/01/2020,morning shift(0500-1300),condition monitoring
C16057,N84111,24/02/2019,night shift(2100-0500),vaccinator
C30323,N86464,02/05/2021,afternoon shift(1300-2100),tester
C90794,D72735,28/03/2019,morning shift(0500-1300),coordinator
C33463,D39524,02/10/2020,afternoon shift(1300-2100),coordinator
C00960,N99167,24/06/2019,night shift(2100-0500),tester
C65811,D47912,05/11/2018,afternoon shift(1300-2100),coordinator
C96657,N40923,30/07/2021,night shift(2100-0500),tester
C57533,N75198,24/04/2021,night shift(2100-0500),examiner
C73148,D58807,03/04/2021,night shift(2100-0500),condition monitoring
C77741,D03011,25/12/2018,morning shift(0500-1300),coordinator
C63521,N89610,19/01/2020,afternoon shift(1300-2100),tester
C75072,N16654,12/02/2019,morning shift(0500-1300),care taker
C44256,N30889,29/11/2020,afternoon shift(1300-2100),tester
C28348,D42341,05/12/2020,night shift(2100-0500),condition monitoring
C94724,D80487,17/09/2019,night shift(2100-0500),condition monitoring
C94075,N76916,12/07/2018,morning shift(0500-1300),vaccinator
C95781,N89553,25/10/2020,morning shift(0500-1300),vaccinator
C08426,D99695,29/05/2019,night shift(2100-0500),condition monitoring
C62299,D03764,16/03/2019,morning shift(0500-1300),condition monitoring
C34648,D05447,18/10/2020,morning shift(0500-1300),condition monitoring
C32447,D95059,03/07/2020,afternoon shift(1300-2100),condition monitoring
C43228,N46224,05/04/2019,afternoon shift(1300-2100),care taker
C80123,D62858,15/05/2021,afternoon shift(1300-2100),coordinator
C27022,N33883,15/07/2020,morning shift(0500-1300),examiner
C17418,D08874,07/09/2020,afternoon shift(1300-2100),condition monitoring
C37581,D74824,11/03/2020,night shift(2100-0500),condition monitoring
C33733,N51644,14/03/2020,afternoon shift(1300-2100),vaccinator
C09157,D86781,02/09/2018,morning shift(0500-1300),condition monitoring
C07739,N65810,01/04/2020,afternoon shift(1300-2100),examiner
C19149,D21831,03/06/2019,afternoon shift(1300-2100),coordinator
C34341,N23177,28/02/2021,afternoon shift(1300-2100),care taker
C38573,N06473,13/10/2020,night shift(2100-0500),examiner
C21883,D87129,27/10/2019,morning shift(0500-1300),coordinator
C80674,N05302,11/05/2020,night shift(2100-0500),vaccinator
C73062,N06995,11/06/2020,afternoon shift(1300-2100),vaccinator
C38789,D05864,28/02/2019,morning shift(0500-1300),coordinator
C34151,N05377,08/09/2018,night shift(2100-0500),tester
C89400,N74885,09/05/2020,night shift(2100-0500),examiner
C97873,D42359,13/01/2020,night shift(2100-0500),condition monitoring
C55995,D33377,10/09/2018,morning shift(0500-1300),condition monitoring
C16057,D87588,16/05/2021,afternoon shift(1300-2100),condition monitoring
C30323,D40628,18/07/2021,night shift(2100-0500),condition monitoring
C90794,D96872,25/07/2020,afternoon shift(1300-2100),condition monitoring
C33463,N66958,27/04/2021,morning shift(0500-1300),vaccinator
C00960,D74974,14/04/2019,morning shift(0500-1300),condition monitoring
C65811,N08137,13/10/2019,afternoon shift(1300-2100),tester
C96657,D00887,13/09/2019,afternoon shift(1300-2100),condition monitoring
C57533,D33956,06/06/2018,night shift(2100-0500),coordinator
C73148,D41849,05/12/2020,morning shift(0500-1300),condition monitoring
C77741,N01895,04/02/2019,night shift(2100-0500),tester
C63521,N22615,28/06/2018,night shift(2100-0500),care taker
C75072,D68321,07/03/2020,morning shift(0500-1300),coordinator
C44256,D12933,30/07/2021,afternoon shift(1300-2100),coordinator
C28348,D83604,30/09/2019,morning shift(0500-1300),condition monitoring
C94724,D26365,17/12/2018,afternoon shift(1300-2100),coordinator
C94075,D73356,05/10/2020,morning shift(0500-1300),condition monitoring
C95781,D61680,12/10/2020,afternoon shift(1300-2100),coordinator
C08426,N40264,12/12/2020,night shift(2100-0500),tester
C62299,D17566,16/12/2019,afternoon shift(1300-2100),coordinator
C34648,N29698,11/05/2019,night shift(2100-0500),examiner
C32447,D39774,06/10/2018,night shift(2100-0500),condition monitoring
C43228,N40367,08/12/2020,morning shift(0500-1300),tester
C80123,N24993,07/08/2018,afternoon shift(1300-2100),examiner
C27022,N98253,13/03/2021,afternoon shift(1300-2100),care taker
C17418,D67202,01/07/2021,afternoon shift(1300-2100),condition monitoring
C37581,N91467,06/08/2019,afternoon shift(1300-2100),vaccinator
C33733,D44953,27/06/2018,night shift(2100-0500),coordinator
C09157,N97770,18/09/2018,night shift(2100-0500),care taker
C07739,D83197,12/07/2020,night shift(2100-0500),coordinator
C19149,D68245,24/07/2019,afternoon shift(1300-2100),condition monitoring
C34341,D66682,03/05/2021,morning shift(0500-1300),condition monitoring
C38573,D48081,28/02/2021,night shift(2100-0500),coordinator
C21883,D26255,04/11/2020,afternoon shift(1300-2100),condition monitoring
C80674,D90535,08/01/2019,night shift(2100-0500),condition monitoring
C73062,D06909,06/07/2020,morning shift(0500-1300),coordinator
C38789,D32702,07/07/2021,morning shift(0500-1300),condition monitoring
C34151,D81095,09/04/2019,afternoon shift(1300-2100),coordinator
C89400,N73139,25/03/2020,afternoon shift(1300-2100),vaccinator
C97873,N75753,17/07/2018,afternoon shift(1300-2100),care taker
C55995,N30091,12/11/2018,morning shift(0500-1300),care taker
C16057,D31620,21/08/2018,night shift(2100-0500),condition monitoring
C30323,N59778,21/07/2019,morning shift(0500-1300),vaccinator
C90794,N12401,26/11/2019,night shift(2100-0500),tester
C33463,D74593,30/04/2020,afternoon shift(1300-2100),condition monitoring
C00960,N73663,14/02/2019,morning shift(0500-1300),vaccinator
C65811,N68373,05/05/2019,afternoon shift(1300-2100),care taker
C96657,D10287,14/08/2019,night shift(2100-0500),condition monitoring
C57533,D13061,10/06/2020,morning shift(0500-1300),condition monitoring
C73148,N61412,28/12/2020,afternoon shift(1300-2100),tester
C77741,N73299,28/12/2019,night shift(2100-0500),examiner
C63521,D29192,07/05/2021,night shift(2100-0500),condition monitoring
C75072,N03594,09/06/2020,afternoon shift(1300-2100),vaccinator
C44256,N74471,25/01/2020,night shift(2100-0500),examiner
C28348,N66060,26/07/2021,afternoon shift(1300-2100),examiner
C94724,N79678,13/05/2019,night shift(2100-0500),tester
C94075,N63597,23/07/2018,afternoon shift(1300-2100),vaccinator
C95781,N94245,22/04/2021,night shift(2100-0500),vaccinator
C08426,N12101,24/09/2018,morning shift(0500-1300),care taker
C62299,D68191,03/06/2019,morning shift(0500-1300),condition monitoring
C34648,D23374,31/08/2019,morning shift(0500-1300),coordinator
C32447,N46712,12/01/2020,afternoon shift(1300-2100),vaccinator
C43228,D63299,17/07/2018,afternoon shift(1300-2100),coordinator
C80123,N65110,11/09/2018,morning shift(0500-1300),tester
C27022,D13499,14/04/2020,morning shift(0500-1300),coordinator
C17418,N47205,10/07/2021,morning shift(0500-1300),examiner
C37581,N74473,31/05/2021,morning shift(0500-1300),vaccinator
C33733,D54492,16/03/2019,night shift(2100-0500),condition monitoring
C09157,N85206,16/07/2021,night shift(2100-0500),examiner
C07739,N18077,16/03/2019,night shift(2100-0500),care taker
C19149,N09878,20/04/2019,afternoon shift(1300-2100),care taker
C34341,D77874,22/10/2019,afternoon shift(1300-2100),condition monitoring
C38573,D35233,29/04/2019,night shift(2100-0500),condition monitoring
C21883,N76491,18/01/2019,night shift(2100-0500),care taker
C80674,D88533,12/11/2019,afternoon shift(1300-2100),coordinator
C73062,N79180,01/10/2020,afternoon shift(1300-2100),vaccinator
C38789,D28592,03/07/2019,afternoon shift(1300-2100),coordinator
C34151,N82350,05/12/2020,morning shift(0500-1300),vaccinator
C89400,D91278,24/09/2020,morning shift(0500-1300),condition monitoring
C97873,D61208,10/06/2020,morning shift(0500-1300),coordinator
C55995,N39930,28/05/2019,night shift(2100-0500),care taker
C16057,N43308,08/09/2019,morning shift(0500-1300),vaccinator
C30323,N32331,25/05/2021,morning shift(0500-1300),examiner
C90794,D16938,13/09/2018,night shift(2100-0500),coordinator
C33463,D37919,01/03/2021,morning shift(0500-1300),condition monitoring
C00960,D04879,19/01/2021,afternoon shift(1300-2100),coordinator
C65811,D37422,10/11/2018,afternoon shift(1300-2100),coordinator
C96657,N91838,15/02/2021,morning shift(0500-1300),care taker
C57533,D01039,25/02/2019,night shift(2100-0500),condition monitoring
C73148,N11056,19/11/2020,morning shift(0500-1300),tester
C77741,D17883,17/04/2019,afternoon shift(1300-2100),condition monitoring
C63521,N76326,29/01/2021,morning shift(0500-1300),care taker
C75072,D54432,08/11/2020,morning shift(0500-1300),coordinator
C44256,D58146,31/10/2019,afternoon shift(1300-2100),condition monitoring
C28348,D93655,15/04/2021,afternoon shift(1300-2100),coordinator
C94724,N13611,10/05/2019,afternoon shift(1300-2100),care taker
C94075,N55898,01/12/2020,morning shift(0500-1300),tester
C95781,D77184,18/06/2018,morning shift(0500-1300),coordinator
C08426,D80724,27/09/2020,morning shift(0500-1300),condition monitoring
C62299,N82363,12/03/2019,night shift(2100-0500),vaccinator
C34648,D56073,07/02/2021,night shift(2100-0500),coordinator
C32447,N97054,27/07/2021,night shift(2100-0500),tester
C43228,N13173,27/08/2018,night shift(2100-0500),examiner
C80123,N40491,05/12/2018,afternoon shift(1300-2100),vaccinator
C27022,D93008,12/06/2021,morning shift(0500-1300),coordinator
C17418,D39510,12/08/2020,morning shift(0500-1300),coordinator
C37581,N07893,06/01/2021,morning shift(0500-1300),examiner
C33733,D81420,12/02/2019,afternoon shift(1300-2100),coordinator
C09157,D18596,01/06/2021,night shift(2100-0500),condition monitoring
C07739,D30174,13/11/2019,afternoon shift(1300-2100),condition monitoring
C19149,D95548,26/05/2020,afternoon shift(1300-2100),coordinator
C34341,N12322,29/07/2021,morning shift(0500-1300),examiner
C38573,D12636,24/07/2020,night shift(2100-0500),condition monitoring
C21883,D57767,03/10/2019,night shift(2100-0500),condition monitoring
C80674,D23424,30/06/2018,morning shift(0500-1300),coordinator
C73062,D99208,13/02/2019,afternoon shift(1300-2100),coordinator
C38789,N40952,07/12/2020,night shift(2100-0500),tester
C34151,N16296,26/01/2019,night shift(2100-0500),care taker
C89400,N72198,02/02/2019,night shift(2100-0500),vaccinator
C97873,D10901,07/06/2018,afternoon shift(1300-2100),condition monitoring
C55995,N12967,18/02/2019,night shift(2100-0500),examiner
C16057,D99641,10/06/2018,afternoon shift(1300-2100),coordinator
C30323,N35166,04/09/2019,morning shift(0500-1300),tester
C90794,D48261,23/12/2018,morning shift(0500-1300),coordinator
C33463,D33972,15/05/2020,morning shift(0500-1300),coordinator
C00960,N13492,23/04/2019,afternoon shift(1300-2100),vaccinator
C65811,D00782,05/12/2020,morning shift(0500-1300),coordinator
C96657,N33689,21/10/2020,morning shift(0500-1300),vaccinator
C57533,N79128,03/01/2021,night shift(2100-0500),tester
C73148,N09276,20/12/2018,night shift(2100-0500),tester
C77741,N87284,15/11/2019,afternoon shift(1300-2100),examiner
C63521,N16192,12/11/2018,night shift(2100-0500),care taker
C75072,D75615,08/09/2018,afternoon shift(1300-2100),coordinator
C44256,N18010,02/06/2020,night shift(2100-0500),care taker
C28348,N52851,12/12/2020,afternoon shift(1300-2100),vaccinator
C94724,N17866,09/01/2020,morning shift(0500-1300),examiner
C94075,N30666,11/06/2019,morning shift(0500-1300),vaccinator
C95781,N92092,03/01/2021,morning shift(0500-1300),vaccinator
C08426,N77861,31/01/2019,night shift(2100-0500),vaccinator
C62299,N94973,14/01/2020,night shift(2100-0500),care taker
C34648,D77173,14/04/2020,morning shift(0500-1300),condition monitoring
C32447,D65033,23/10/2019,afternoon shift(1300-2100),coordinator
C43228,N40163,23/09/2020,night shift(2100-0500),tester
C80123,N88231,15/08/2018,afternoon shift(1300-2100),examiner
C27022,N79427,29/12/2020,night shift(2100-0500),care taker
C17418,D64682,13/08/2019,afternoon shift(1300-2100),condition monitoring
C37581,D07300,04/01/2021,morning shift(0500-1300),condition monitoring
C33733,D16329,15/02/2019,morning shift(0500-1300),coordinator
C09157,D29353,16/02/2019,afternoon shift(1300-2100),coordinator
C07739,D47164,28/12/2020,night shift(2100-0500),coordinator
C19149,D01645,06/05/2021,morning shift(0500-1300),coordinator
C34341,D75873,03/08/2021,morning shift(0500-1300),condition monitoring
C38573,N02170,09/05/2020,night shift(2100-0500),examiner
C21883,N03141,21/11/2019,night shift(2100-0500),tester
C80674,D28308,20/08/2018,night shift(2100-0500),condition monitoring
C73062,D62665,26/05/2020,afternoon shift(1300-2100),condition monitoring
C38789,N40895,30/11/2018,night shift(2100-0500),tester
C34151,D07082,27/07/2020,morning shift(0500-1300),coordinator
C89400,N69685,06/08/2019,night shift(2100-0500),tester
C97873,D27822,07/07/2019,morning shift(0500-1300),coordinator
C55995,D17196,31/03/2021,night shift(2100-0500),coordinator
C16057,D51441,18/07/2020,morning shift(0500-1300),coordinator
C30323,N94205,07/04/2021,afternoon shift(1300-2100),vaccinator
C90794,N14277,17/07/2021,afternoon shift(1300-2100),tester
C33463,D81771,22/05/2019,afternoon shift(1300-2100),coordinator
C00960,N90465,31/03/2020,afternoon shift(1300-2100),vaccinator
C65811,D75303,12/06/2018,night shift(2100-0500),condition monitoring
C96657,D92283,26/07/2020,afternoon shift(1300-2100),condition monitoring
C57533,D40004,29/08/2020,afternoon shift(1300-2100),coordinator
C73148,N25509,17/07/2018,night shift(2100-0500),examiner
C77741,D48751,27/02/2020,night shift(2100-0500),coordinator
C63521,D38281,23/04/2020,night shift(2100-0500),coordinator
C75072,N86157,10/05/2021,morning shift(0500-1300),care taker
C44256,N31946,25/07/2019,night shift(2100-0500),care taker
C28348,D47631,09/04/2019,night shift(2100-0500),condition monitoring
C94724,D68085,29/09/2019,morning shift(0500-1300),condition monitoring
C94075,D26318,07/06/2019,night shift(2100-0500),coordinator
C95781,N02091,15/10/2018,night shift(2100-0500),vaccinator
C08426,D12357,04/11/2018,morning shift(0500-1300),coordinator
C62299,N22329,07/09/2018,morning shift(0500-1300),examiner
C34648,D90877,22/10/2020,night shift(2100-0500),coordinator
C32447,D55063,29/03/2019,night shift(2100-0500),coordinator
C43228,D08029,22/09/2018,night shift(2100-0500),condition monitoring
C80123,D07090,01/09/2018,morning shift(0500-1300),condition monitoring
C27022,N72782,19/08/2018,morning shift(0500-1300),vaccinator
C17418,N79509,06/12/2019,morning shift(0500-1300),vaccinator
C37581,D17295,14/07/2019,afternoon shift(1300-2100),condition monitoring
C33733,D17620,15/12/2019,afternoon shift(1300-2100),coordinator
C09157,D08160,15/10/2019,afternoon shift(1300-2100),condition monitoring
C07739,N41347,25/08/2019,night shift(2100-0500),vaccinator
C19149,D78303,24/09/2018,afternoon shift(1300-2100),condition monitoring
C34341,N80989,28/02/2019,afternoon shift(1300-2100),care taker
C38573,N11845,28/05/2019,night shift(2100-0500),care taker
C21883,N25791,16/09/2020,night shift(2100-0500),vaccinator
C80674,N57664,30/07/2018,morning shift(0500-1300),vaccinator
C73062,N43870,19/07/2021,night shift(2100-0500),tester
C38789,D02639,06/09/2020,morning shift(0500-1300),condition monitoring
C34151,N15222,29/05/2021,night shift(2100-0500),vaccinator
C89400,D81849,02/11/2020,afternoon shift(1300-2100),condition monitoring
C97873,N31079,01/02/2020,afternoon shift(1300-2100),care taker
C55995,D93695,28/03/2021,night shift(2100-0500),coordinator
C16057,N50817,19/07/2020,morning shift(0500-1300),examiner
C30323,D94903,15/06/2019,night shift(2100-0500),condition monitoring
C90794,D74548,22/04/2020,night shift(2100-0500),coordinator
C33463,D88903,02/07/2020,afternoon shift(1300-2100),coordinator
C00960,D41776,15/04/2020,night shift(2100-0500),coordinator
C65811,D28103,07/12/2020,afternoon shift(1300-2100),condition monitoring
C96657,N52992,13/10/2019,afternoon shift(1300-2100),examiner
C57533,N36434,05/03/2021,morning shift(0500-1300),care taker
C73148,D76759,09/12/2020,morning shift(0500-1300),condition monitoring
C77741,D90629,18/07/2021,afternoon shift(1300-2100),coordinator
C63521,N89745,24/04/2019,night shift(2100-0500),vaccinator
C75072,D29639,23/11/2020,afternoon shift(1300-2100),condition monitoring
C44256,D15415,17/09/2019,afternoon shift(1300-2100),coordinator
C28348,D15738,31/05/2019,morning shift(0500-1300),condition monitoring
C94724,D48397,18/09/2019,afternoon shift(1300-2100),coordinator
C94075,N00941,06/08/2020,night shift(2100-0500),vaccinator
C95781,D63239,21/08/2019,afternoon shift(1300-2100),coordinator
C08426,D41598,02/11/2019,afternoon shift(1300-2100),condition monitoring
C62299,N43148,24/05/2020,night shift(2100-0500),tester
C34648,N98601,18/01/2020,night shift(2100-0500),care taker
