centreID,staffID,assignmentDate,workingHour,dutyRole
C19149,N15869,26/1/2021,night shift(2100-0500),tester
C34341,N91251,27/7/2020,afternoon shift(1300-2100),examiner
C38573,N72176,1/12/2018,afternoon shift(1300-2100),vaccinator
C21883,N43094,23/8/2018,morning shift(0500-1300),care taker
C80674,N31948,26/10/2020,afternoon shift(1300-2100),tester
C73062,N74162,17/5/2021,morning shift(0500-1300),tester
C38789,N76250,6/3/2020,night shift(2100-0500),examiner
C34151,N02381,16/2/2019,night shift(2100-0500),examiner
C89400,N47434,15/4/2019,afternoon shift(1300-2100),examiner
C97873,D44377,3/6/2021,night shift(2100-0500),condition monitoring
C55995,N86009,21/7/2019,night shift(2100-0500),tester
C16057,N03453,12/10/2020,afternoon shift(1300-2100),vaccinator
C30323,N44321,25/5/2021,afternoon shift(1300-2100),vaccinator
C90794,N08677,13/12/2018,night shift(2100-0500),care taker
C33463,N26240,28/7/2018,morning shift(0500-1300),tester
C00960,N60297,17/1/2021,afternoon shift(1300-2100),tester
C65811,N05852,9/2/2019,morning shift(0500-1300),vaccinator
C96657,N67065,28/6/2021,afternoon shift(1300-2100),tester
C57533,N51901,3/7/2021,afternoon shift(1300-2100),care taker
C73148,D47320,3/1/2019,morning shift(0500-1300),coordinator
C77741,N76915,23/11/2020,morning shift(0500-1300),examiner
C63521,N89191,28/9/2020,night shift(2100-0500),vaccinator
C75072,D37224,25/11/2018,night shift(2100-0500),condition monitoring
C44256,N94756,6/7/2019,night shift(2100-0500),tester
C28348,N99642,12/4/2019,morning shift(0500-1300),examiner
C94724,N04509,15/11/2018,night shift(2100-0500),tester
C94075,N70690,26/7/2021,morning shift(0500-1300),care taker
C95781,D02104,2/4/2021,night shift(2100-0500),condition monitoring
C08426,N18018,6/1/2019,afternoon shift(1300-2100),vaccinator
C62299,N14515,12/6/2020,night shift(2100-0500),vaccinator
C34648,N87235,21/2/2019,afternoon shift(1300-2100),tester
C32447,N12591,12/12/2020,afternoon shift(1300-2100),care taker
C43228,N50921,13/11/2018,morning shift(0500-1300),examiner
C80123,N59936,8/12/2019,morning shift(0500-1300),tester
C27022,D43323,20/7/2021,morning shift(0500-1300),condition monitoring
C17418,N28045,21/6/2018,morning shift(0500-1300),tester
C37581,N63003,30/7/2021,night shift(2100-0500),tester
C33733,N75984,16/11/2019,night shift(2100-0500),examiner
C09157,D72629,17/6/2018,afternoon shift(1300-2100),coordinator
C07739,D68524,21/3/2020,afternoon shift(1300-2100),condition monitoring
C19149,N05643,22/4/2021,morning shift(0500-1300),tester
C34341,N47517,12/6/2018,night shift(2100-0500),vaccinator
C38573,N97556,8/2/2019,night shift(2100-0500),examiner
C21883,N48078,8/10/2019,morning shift(0500-1300),care taker
C80674,N93825,1/1/2019,morning shift(0500-1300),care taker
C73062,N48700,13/10/2020,afternoon shift(1300-2100),tester
C38789,N95485,14/3/2020,morning shift(0500-1300),vaccinator
C34151,N29254,24/5/2021,night shift(2100-0500),examiner
C89400,N05157,22/7/2019,afternoon shift(1300-2100),care taker
C97873,N54324,9/7/2021,night shift(2100-0500),tester
C55995,N36012,24/4/2020,morning shift(0500-1300),vaccinator
C16057,N19060,8/2/2021,night shift(2100-0500),examiner
C30323,N00861,3/3/2019,morning shift(0500-1300),tester
C90794,N25937,21/5/2021,night shift(2100-0500),tester
C33463,N09902,9/9/2019,morning shift(0500-1300),care taker
C00960,N09288,30/9/2018,morning shift(0500-1300),tester
C65811,D32711,16/12/2019,morning shift(0500-1300),condition monitoring
C96657,N72181,30/12/2019,morning shift(0500-1300),care taker
C57533,D70439,14/6/2021,afternoon shift(1300-2100),coordinator
C73148,N01501,25/6/2018,night shift(2100-0500),examiner
C77741,N59310,13/6/2020,morning shift(0500-1300),examiner
C63521,D66258,23/12/2020,night shift(2100-0500),condition monitoring
C75072,N26572,31/7/2021,night shift(2100-0500),tester
C44256,N52930,26/9/2020,night shift(2100-0500),examiner
C28348,N52226,19/2/2020,afternoon shift(1300-2100),tester
C94724,N67149,6/12/2018,morning shift(0500-1300),care taker
C94075,D31188,3/3/2020,afternoon shift(1300-2100),condition monitoring
C95781,D81464,21/5/2020,night shift(2100-0500),coordinator
C08426,N01781,6/11/2018,afternoon shift(1300-2100),care taker
C62299,N57930,2/8/2019,morning shift(0500-1300),care taker
C34648,N37086,27/10/2018,afternoon shift(1300-2100),care taker
C32447,N56722,8/12/2018,night shift(2100-0500),tester
C43228,N57483,18/1/2020,morning shift(0500-1300),examiner
C80123,N92584,20/3/2019,afternoon shift(1300-2100),care taker
C27022,N98421,11/2/2019,morning shift(0500-1300),examiner
C17418,D80194,5/9/2020,morning shift(0500-1300),condition monitoring
C37581,D03564,24/10/2019,night shift(2100-0500),condition monitoring
C33733,N01289,6/6/2019,night shift(2100-0500),care taker
C09157,N89412,25/10/2020,morning shift(0500-1300),vaccinator
C07739,N09807,8/7/2021,night shift(2100-0500),vaccinator
C19149,N45811,31/7/2019,night shift(2100-0500),tester
C34341,N93331,5/12/2020,afternoon shift(1300-2100),care taker
C38573,N19414,21/6/2020,morning shift(0500-1300),tester
C21883,N33486,19/12/2018,morning shift(0500-1300),examiner
C80674,D95945,14/5/2020,morning shift(0500-1300),coordinator
C73062,N44742,27/8/2018,afternoon shift(1300-2100),care taker
C38789,N03407,7/6/2018,night shift(2100-0500),care taker
C34151,N71264,13/6/2018,morning shift(0500-1300),tester
C89400,N20805,8/1/2021,night shift(2100-0500),care taker
C97873,N99314,5/3/2020,morning shift(0500-1300),care taker
C55995,N37399,12/4/2021,morning shift(0500-1300),tester
C16057,N93163,7/1/2021,night shift(2100-0500),tester
C30323,D87775,2/8/2018,night shift(2100-0500),coordinator
